GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mhv3,es.ies.puerto.controller,MonsterHunter,251,0,4,0,58,0,10,0,8,0
mhv3,es.ies.puerto.model,Monster,256,0,26,0,75,0,34,0,21,0
mhv3,es.ies.puerto.model,Cave,116,19,0,0,34,6,10,1,10,1
mhv3,es.ies.puerto.model,Hunter,70,138,12,6,23,42,7,23,1,20
mhv3,es.ies.puerto.model,MapGame,1134,152,70,9,244,35,72,9,33,5
